,1:name,2:start_time,3:end_time,4:sec,5:times,6:avg_sec,7:error,8:date
0,db,09:41:05,10:41:42,3637,500,7.274,12,2019-05-28
1,lambda,09:41:08,10:47:42,3994,500,7.988,3,2019-05-28
2,producer,09:41:09,10:44:01,3772,500,7.544,12,2019-05-28
3,web,09:41:11,10:46:42,3931,500,7.862,9,2019-05-28
4,worker,09:41:07,10:44:12,3785,500,7.57,6,2019-05-28
