,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,11:35:03,11:35:11,3.1684,7.4752
1,2,11:35:11,11:35:18,3.1603,7.3054
2,3,11:35:18,11:35:25,3.1623,7.3399
3,4,11:35:25,11:35:33,3.1661,7.412
4,5,11:35:33,11:35:40,3.1681,7.2997
5,6,11:35:40,11:35:47,3.1731,7.3232
6,7,11:35:47,11:35:55,3.1643,7.3833
7,8,11:35:55,11:36:02,3.1809,7.477
8,9,11:36:02,11:36:10,3.1627,7.4508
9,10,11:36:10,11:36:17,3.1582,7.4766
10,11,11:36:17,11:36:24,3.1773,7.3166
11,12,11:36:24,11:36:32,3.1746,7.3187
12,13,11:36:32,11:36:39,3.1634,7.3404
13,14,11:36:39,11:36:46,3.1737,7.4921
14,15,11:36:46,11:36:54,3.1845,7.5348
15,16,11:36:54,11:37:02,3.1768,7.5425
16,17,11:37:02,11:37:09,3.1697,7.5189
17,18,11:37:09,11:37:17,3.1635,7.4829
18,19,11:37:17,11:37:24,3.1598,7.4336
19,20,11:37:24,11:37:31,3.1732,7.3334
20,21,11:37:31,11:37:39,3.166,7.3617
21,22,11:37:39,11:37:46,3.1609,7.5291
22,23,11:37:46,11:37:54,3.1585,7.4757
23,24,11:37:54,11:38:01,3.1612,7.4468
24,25,11:38:01,11:38:09,3.1514,7.401
25,26,11:38:09,11:38:16,3.1672,7.2641
26,27,11:38:16,11:38:23,3.1728,7.2631
27,28,11:38:23,11:38:30,3.159,7.3307
28,29,11:38:30,11:38:38,3.1667,7.6222
29,30,11:38:38,11:38:45,3.1592,7.3934
30,31,11:38:45,11:38:53,3.1598,7.3863
31,32,11:38:53,11:39:00,3.167,7.2855
32,33,11:39:00,11:39:07,3.183,7.3521
33,34,11:39:07,11:39:15,3.1714,7.3628
34,35,11:39:15,11:39:22,3.1812,7.3557
35,36,11:39:22,11:39:30,3.1709,7.4249
36,37,11:39:30,11:39:37,3.1776,7.4548
37,38,11:39:37,11:39:44,3.1728,7.4159
38,39,11:39:44,11:39:52,3.1709,7.3436
39,40,11:39:52,11:39:59,3.1683,7.3056
40,41,11:39:59,11:40:06,3.1725,7.3671
41,42,11:40:06,11:40:14,3.161,7.4591
42,43,11:40:14,11:40:21,3.1723,7.466
43,44,11:40:21,11:40:29,3.1577,7.4024
44,45,11:40:29,11:40:36,3.1586,7.3315
45,46,11:40:36,11:40:44,3.1669,7.4414
46,47,11:40:44,11:40:51,3.1828,7.3725
47,48,11:40:51,11:40:58,3.1565,7.4244
48,49,11:40:58,11:41:06,3.2392,7.5291
49,50,11:41:06,11:41:13,3.1693,7.4353
50,51,11:41:13,11:41:21,3.1627,7.4498
51,52,11:41:21,11:41:28,3.1636,7.3316
52,53,11:41:28,11:41:35,3.1742,7.3013
53,54,11:41:35,11:41:43,3.1542,7.3273
54,55,11:41:43,11:41:50,3.1721,7.4492
55,56,11:41:50,11:41:58,3.1563,7.5181
56,57,11:41:58,11:42:05,3.1607,7.4005
57,58,11:42:05,11:42:12,3.1802,7.3528
58,59,11:42:12,11:42:20,3.156,7.304
59,60,11:42:20,11:42:27,3.1606,7.33
60,61,11:42:27,11:42:34,3.1551,7.3808
61,62,11:42:34,11:42:42,3.1594,7.4978
62,63,11:42:42,11:42:49,3.1631,7.4288
63,64,11:42:49,11:42:57,3.169,7.4233
64,65,11:42:57,11:43:04,3.1582,7.2953
65,66,11:43:04,11:43:11,3.1751,7.3514
66,67,11:43:11,11:43:19,3.1696,7.2976
67,68,11:43:19,11:43:26,3.1581,7.4898
68,69,11:43:26,11:43:34,3.1668,7.4422
69,70,11:43:34,11:43:41,3.1715,7.3885
70,71,11:43:41,11:43:48,3.1622,7.365
71,72,11:43:48,11:43:56,3.1761,7.3462
72,73,11:43:56,11:44:03,3.1732,7.3388
73,74,11:44:03,11:44:11,3.1511,7.3844
74,75,11:44:11,11:44:18,3.1522,7.4348
75,76,11:44:18,11:44:25,3.1528,7.4484
76,77,11:44:25,11:44:33,3.1638,7.4307
77,78,11:44:33,11:44:40,3.1751,7.2496
78,79,11:44:40,11:44:47,3.1836,7.3253
79,80,11:44:47,11:44:55,3.165,7.2875
80,81,11:44:55,11:45:02,3.1786,7.4379
81,82,11:45:02,11:45:10,3.1541,7.4617
82,83,11:45:10,11:45:17,3.1628,7.5222
83,84,11:45:17,11:45:24,3.1756,7.3507
84,85,11:45:24,11:45:32,3.1616,7.3353
85,86,11:45:32,11:45:39,3.1569,7.2633
86,87,11:45:39,11:45:47,3.1661,7.4125
87,88,11:45:47,11:45:54,3.1706,7.4652
88,89,11:45:54,11:46:01,3.1726,7.4656
89,90,11:46:01,11:46:09,3.1613,7.3963
90,91,11:46:09,11:46:16,3.1816,7.3579
91,92,11:46:16,11:46:24,3.1681,7.3253
92,93,11:46:24,11:46:31,3.1718,7.3861
93,94,11:46:31,11:46:38,3.1609,7.4994
94,95,11:46:38,11:46:46,3.1656,7.4372
95,96,11:46:46,11:46:53,3.1576,7.5122
96,97,11:46:53,11:47:01,3.1688,7.372
97,98,11:47:01,11:47:08,3.1678,7.3007
98,99,11:47:08,11:47:15,3.1623,7.3097
99,100,11:47:15,11:47:23,3.1659,7.3356
100,101,11:47:23,11:47:30,3.1611,7.426
101,102,11:47:30,11:47:38,3.1666,7.4635
102,103,11:47:38,11:47:45,3.1632,7.3085
103,104,11:47:45,11:47:52,3.1686,7.3021
104,105,11:47:52,11:48:00,3.1628,7.3834
105,106,11:48:00,11:48:07,3.1589,7.375
106,107,11:48:07,11:48:14,3.1645,7.433
107,108,11:48:14,11:48:22,3.156,7.4404
108,109,11:48:22,11:48:29,3.1742,7.4753
109,110,11:48:29,11:48:37,3.1632,7.3831
110,111,11:48:37,11:48:44,3.1921,7.3189
111,112,11:48:44,11:48:51,3.1525,7.3844
112,113,11:48:51,11:48:59,3.1817,7.4562
113,114,11:48:59,11:49:06,3.1692,7.6285
114,115,11:49:06,11:49:14,3.176,7.6036
115,116,11:49:14,11:49:22,3.1619,7.4893
116,117,11:49:22,11:49:29,3.17,7.4372
117,118,11:49:29,11:49:36,3.1883,7.4136
