,1:name,2:start_time,3:end_time,4:sec,5:times,6:avg_sec,7:error,8:date
0,db,11:35:03,12:37:07,3724,500,7.448,0,2019-05-28
1,lambda,11:35:07,12:42:29,4042,500,8.084,0,2019-05-28
2,producer,11:35:07,12:41:38,3991,500,7.982,0,2019-05-28
3,web,11:35:14,14:00:45,8731,500,17.462,2,2019-05-28
4,worker,11:35:05,12:41:30,3985,500,7.97,0,2019-05-28
