,1:name,2:start_time,3:end_time,4:sec,5:times,6:avg_sec,7:error,8:date
0,db,09:53:20,11:25:25,5525,1000,5.525,16,2019-05-28
1,lambda,09:53:23,11:43:26,6603,1000,6.603,19,2019-05-28
2,producer,09:53:25,11:38:35,6310,1000,6.31,19,2019-05-28
3,worker,09:53:23,11:25:17,5514,1000,5.514,20,2019-05-28
