,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,11:35:25,11:35:34,3.2427,8.9555
1,2,11:35:34,11:35:42,3.2211,8.5911
2,3,11:35:42,11:35:51,3.2121,8.4268
3,4,11:35:51,11:35:59,3.2568,8.3969
4,5,11:35:59,11:36:08,3.1897,8.4829
5,6,11:36:08,11:36:16,3.1886,8.3192
6,7,11:36:16,11:36:24,3.2629,8.3757
7,8,11:36:24,11:36:32,3.2089,8.1096
8,9,11:36:32,11:36:41,3.2318,8.1633
9,10,11:36:41,11:36:49,3.2125,8.1568
10,11,11:36:49,11:36:57,3.2803,8.4256
11,12,11:36:57,11:37:06,3.2264,8.318
12,13,11:37:06,11:37:14,3.2143,8.3684
13,14,11:37:14,11:37:22,3.2347,8.0087
14,15,11:37:22,11:37:30,3.1777,8.1194
15,16,11:37:30,11:37:38,3.2025,8.1592
16,17,11:37:38,11:37:46,3.2132,8.084
17,18,11:37:46,11:37:55,3.1733,8.294
18,19,11:37:55,11:38:03,3.2758,8.1264
19,20,11:38:03,11:38:11,3.1792,8.2996
20,21,11:38:11,11:38:19,3.2106,8.2519
21,22,11:38:19,11:38:27,3.1843,8.1648
22,23,11:38:27,11:38:36,3.1878,8.321
23,24,11:38:36,11:38:44,3.1671,8.0613
24,25,11:38:44,11:38:52,3.2206,8.2186
25,26,11:38:52,11:39:00,3.1814,8.0376
26,27,11:39:00,11:39:08,3.2019,7.9618
27,28,11:39:08,11:39:16,3.1915,8.2037
28,29,11:39:16,11:39:24,3.2477,8.0391
29,30,11:39:24,11:39:32,3.1742,8.0581
30,31,11:39:32,11:39:40,3.2221,8.1494
31,32,11:39:40,11:39:49,3.2095,8.0765
32,33,11:39:49,11:39:57,3.1984,8.0202
33,34,11:39:57,11:40:05,3.1722,7.9989
34,35,11:40:05,11:40:13,3.1702,7.9371
35,36,11:40:13,11:40:20,3.1913,7.8862
36,37,11:40:20,11:40:28,3.2027,7.9624
37,38,11:40:28,11:40:36,3.1782,7.902
38,39,11:40:36,11:40:44,3.1873,8.0124
39,40,11:40:44,11:40:52,3.1993,7.999
40,41,11:40:52,11:41:00,3.235,7.9658
41,42,11:41:00,11:41:08,3.1976,8.0693
42,43,11:41:08,11:41:16,3.1762,7.9802
43,44,11:41:16,11:41:24,3.1729,7.9356
44,45,11:41:24,11:41:32,3.2902,8.0065
45,46,11:41:32,11:41:40,3.17,7.8351
46,47,11:41:40,11:41:48,3.1811,7.9386
47,48,11:41:48,11:41:56,3.1682,8.0515
48,49,11:41:56,11:42:04,3.2212,8.0352
49,50,11:42:04,11:42:12,3.1901,7.9804
50,51,11:42:12,11:42:20,3.2784,8.0542
51,52,11:42:20,11:42:28,3.1815,8.1125
52,53,11:42:28,11:42:36,3.186,7.9923
53,54,11:42:36,11:42:44,3.182,8.113
54,55,11:42:44,11:42:52,3.176,7.8401
55,56,11:42:52,11:43:00,3.1863,7.9724
56,57,11:43:00,11:43:08,3.1866,8.0106
57,58,11:43:08,11:43:16,3.1945,7.9961
58,59,11:43:16,11:43:24,3.1927,8.1302
59,60,11:43:24,11:43:32,3.2347,8.1098
60,61,11:43:32,11:43:40,3.1837,7.9852
61,62,11:43:40,11:43:48,3.1872,7.945
62,63,11:43:48,11:43:56,3.1786,7.9215
63,64,11:43:56,11:44:04,3.1853,8.0658
64,65,11:44:04,11:44:12,3.1889,7.9423
65,66,11:44:12,11:44:20,3.1786,7.9495
66,67,11:44:20,11:44:28,3.1913,8.0701
67,68,11:44:28,11:44:36,3.1875,7.9114
68,69,11:44:36,11:44:44,3.1853,8.1852
69,70,11:44:44,11:44:52,3.1777,7.9376
70,71,11:44:52,11:45:00,3.1715,8.0295
71,72,11:45:00,11:45:08,3.2388,8.0285
