,1:name,2:start_time,3:end_time,4:sec,5:times,6:avg_sec,7:error,8:date
0,db,14:23:22,16:27:16,7434,1000,7.434,2,2019-05-28
1,lambda,14:23:24,16:39:42,8178,1000,8.178,1,2019-05-28
2,producer,14:23:25,16:36:24,7979,1000,7.979,3,2019-05-28
3,worker,14:23:23,16:37:15,8032,1000,8.032,2,2019-05-28
