,1:name,2:start_time,3:end_time,4:sec,5:times,6:avg_sec,7:error,8:date
0,db,14:37:20,16:41:39,7459,1000,7.459,2,2019-05-28
1,lambda,14:37:25,16:52:40,8115,1000,8.115,2,2019-05-28
2,producer,14:37:27,16:51:36,8049,1000,8.049,1,2019-05-28
3,worker,14:37:22,16:54:03,8201,1000,8.201,2,2019-05-28
