,1:number,2:start_time,3:end_time,4:pic_times,5:total_time
0,1,09:41:05,09:41:13,3.1613,7.3094
1,2,09:41:13,09:41:20,3.1657,7.1701
2,3,09:41:20,09:41:27,3.1582,7.2348
3,4,09:41:27,09:41:34,3.1619,7.194
4,5,09:41:34,09:41:43,3.1521,8.7835
5,6,09:41:43,09:41:50,3.1434,7.1886
6,7,09:41:50,09:41:58,3.1524,7.3249
7,8,09:41:58,09:42:05,3.1539,7.2879
8,9,09:42:05,09:42:12,3.1638,7.2068
9,10,09:42:12,09:42:19,3.1606,7.1283
10,11,09:42:19,09:42:26,3.1536,7.1643
11,12,09:42:26,09:42:34,3.1446,7.2941
12,13,09:42:34,09:42:41,3.1477,7.2851
13,14,09:42:41,09:42:48,3.1562,7.1705
14,15,09:42:48,09:42:55,3.1716,7.2436
15,16,09:42:55,09:43:03,3.1562,7.2236
16,17,09:43:03,09:43:10,3.1496,7.2929
17,18,09:43:10,09:43:17,3.1576,7.2696
18,19,09:43:17,09:43:24,3.1676,7.2288
19,20,09:43:24,09:43:32,3.1714,7.3192
20,21,09:43:32,09:43:39,3.1677,7.2
21,22,09:43:39,09:43:46,3.1547,7.2952
22,23,09:43:46,09:43:54,3.1489,7.2725
23,24,09:43:54,09:44:01,3.1581,7.2696
24,25,09:44:01,09:44:08,3.1627,7.2435
25,26,09:44:08,09:44:15,3.1536,7.1552
26,27,09:44:15,09:44:22,3.1502,7.13
27,28,09:44:22,09:44:30,3.1564,7.3452
28,29,09:44:30,09:44:37,3.1611,7.3159
29,30,09:44:37,09:44:44,3.1718,7.3053
30,31,09:44:44,09:44:52,3.1476,7.2464
31,32,09:44:52,09:44:59,3.1518,7.179
32,33,09:44:59,09:45:06,3.1516,7.3031
33,34,09:45:06,09:45:13,3.1582,7.2491
34,35,09:45:13,09:45:20,3.1539,7.2382
35,36,09:45:20,09:45:28,3.1519,7.1517
36,37,09:45:28,09:45:35,3.1479,7.1582
37,38,09:45:35,09:45:42,3.1656,7.2061
38,39,09:45:42,09:45:49,3.1627,7.3265
39,40,09:45:49,09:45:57,3.1745,7.3242
40,41,09:45:57,09:46:04,3.1606,7.2401
41,42,09:46:04,09:46:11,3.1556,7.2409
42,43,09:46:11,09:46:18,3.1568,7.2609
43,44,09:46:18,09:46:26,3.1483,7.3564
44,45,09:46:26,09:46:33,3.1508,7.2336
45,46,09:46:33,09:46:40,3.1704,7.2418
46,47,09:46:40,09:46:48,3.1734,7.2727
47,48,09:46:48,09:46:55,3.1609,7.2354
48,49,09:46:55,09:47:02,3.1886,7.477
49,50,09:47:02,09:47:10,3.1613,7.4521
50,51,09:47:10,09:47:17,3.1504,7.4321
51,52,09:47:17,09:47:24,3.1681,7.2962
52,53,09:47:24,09:47:32,3.1652,7.3647
53,54,09:47:32,09:47:39,3.1592,7.1744
54,55,09:47:39,09:47:46,3.1584,7.3097
55,56,09:47:46,09:47:54,3.1707,7.3038
56,57,09:47:54,09:48:01,3.1604,7.3194
57,58,09:48:01,09:48:08,3.163,7.2296
58,59,09:48:08,09:48:15,3.1784,7.2217
59,60,09:48:15,09:48:23,3.1588,7.2267
60,61,09:48:23,09:48:30,3.1508,7.3544
